Grade,Subject,Topic,Difficulty,Question,A,B,C,D,Correct Answer
8,Maths,Linear Equations,Hard,Solve for x: 4x − 9 = 23,6,7,8,9,8
8,Maths,Exponents & Scientific Notation,Hard,What is 2^5 × 2^3?,2^8,2^15,2^3,2^2,2^8
8,Maths,Functions,Hard,"If f(x) = 2x + 1, what is f(3)?",5,6,7,8,7
8,Maths,Geometry,Hard,What is the volume of a cube with side length 4?,16,32,48,64,64
8,Maths,Exponents & Scientific Notation,Hard,Which is written correctly in scientific notation?,0.0045,4.5 × 10^-3,45 × 10^-4,450 × 10^-5,4.5 × 10^-3
8,Maths,Geometry,Hard,What is the Pythagorean theorem?,a+b=c,a²+b²=c²,a×b=c,a−b=c,a²+b²=c²
8,Maths,Functions,Hard,Which table represents y = 3x?,"x=1,y=4","x=2,y=6","x=3,y=8","x=4,y=10","x=2,y=6"
8,Maths,Linear Equations,Hard,Solve: 2(x + 5) = 18,3,4,5,6,4
8,Maths,Exponents & Scientific Notation,Hard,Solve for x: 3x + (-40) = 11,16,17,-17,18,17
8,Maths,Geometry,Hard,Solve for x: 11x + (-49) = -192,-14,-12,-13,13,-13
8,Maths,Exponents & Scientific Notation,Hard,Solve for x: 9x + (46) = -8,-6,-7,6,-5,-6
8,Maths,Geometry,Hard,Solve for x: 14x + (-6) = -202,14,-14,-15,-13,-14
8,Maths,Linear Equations,Hard,Solve for x: 9x + (-40) = 86,13,14,-14,15,14
8,Maths,Linear Equations,Hard,Solve for x: 2x + (-9) = -29,-10,-11,-9,10,-10
8,Maths,Exponents & Scientific Notation,Hard,Solve for x: 17x + (36) = -304,-20,-19,20,-21,-20
8,Maths,Geometry,Hard,Solve for x: 7x + (12) = 145,-19,20,18,19,19
8,Maths,Linear Equations,Hard,Solve for x: 9x + (-2) = -101,-11,11,-12,-10,-11
8,Maths,Geometry,Hard,Solve for x: 20x + (-50) = 190,11,12,-12,13,12
8,Maths,Linear Equations,Hard,Solve for x: 18x + (23) = 329,18,-17,16,17,17
8,Maths,Exponents & Scientific Notation,Hard,Solve for x: 6x + (-38) = -128,15,-15,-16,-14,-15
8,Maths,Geometry,Hard,Solve for x: 12x + (-46) = 74,-10,11,10,9,10
8,Maths,Linear Equations,Hard,Solve for x: 11x + (-25) = -234,-19,-20,-18,19,-19
8,Maths,Geometry,Hard,Solve for x: 14x + (38) = 136,7,6,8,-7,7
8,Maths,Exponents & Scientific Notation,Hard,Solve for x: 19x + (43) = -14,-4,-3,-2,3,-3
8,Maths,Geometry,Hard,Solve for x: 19x + (-23) = 281,-16,16,17,15,16
8,Maths,Geometry,Hard,Solve for x: 6x + (-22) = 38,-10,11,10,9,10
8,Maths,Exponents & Scientific Notation,Hard,Solve for x: 8x + (12) = 132,-15,15,16,14,15
8,Maths,Geometry,Hard,Solve for x: 2x + (-19) = -19,-1,0,Option 3,1,0
8,Maths,Exponents & Scientific Notation,Hard,Solve for x: 3x + (-13) = -43,10,-9,-10,-11,-10
8,Maths,Exponents & Scientific Notation,Hard,Solve for x: 20x + (16) = 276,-13,13,12,14,13
8,Maths,Linear Equations,Hard,Solve for x: 6x + (-6) = -60,9,-8,-10,-9,-9
8,Maths,Exponents & Scientific Notation,Hard,Solve for x: 9x + (30) = -150,-20,20,-19,-21,-20
