Grade,Subject,Topic,Difficulty,Question,A,B,C,D,Correct Answer
3,Science,Life Science,Intermediate,Why do plants need roots?,To make food,To absorb water,To make seeds,To get sunlight,To absorb water
3,Science,Earth Science,Intermediate,Why are fossils important?,They are toys,They show past life,They make soil,They give light,They show past life
3,Science,Physical Science,Intermediate,What happens when heat is added to water?,It freezes,It boils,It hardens,It disappears,It boils
3,Science,Health & Body,Intermediate,Which system helps move blood?,Digestive,Respiratory,Circulatory,Skeletal,Circulatory
3,Science,Earth Science,Intermediate,What causes erosion?,Wind and water,Plants,Rocks,Sunlight,Wind and water
3,Science,Physical Science,Intermediate,Which force pulls objects toward Earth?,Magnetism,Gravity,Friction,Electricity,Gravity
3,Science,Health & Body,Intermediate,Why is exercise important?,For fun only,For strong muscles,For color,For noise,For strong muscles
3,Science,Life Science,Intermediate,How do animals get energy?,From air,From food,From sleep,From water only,From food
3,Science,Life Science,Intermediate,Which statement best describes conservation of energy?,Energy is always destroyed,Energy is created in every reaction,Energy stays only as heat,Energy changes form but is not created or destroyed,Energy changes form but is not created or destroyed
3,Science,Physical Science,Intermediate,An object of mass 17 kg accelerates at 8 m/s². What net force acts on it?,153 N,119 N,1088 N,136 N,136 N
3,Science,Life Science,Intermediate,An object of mass 6 kg accelerates at 8 m/s². What net force acts on it?,54 N,48 N,384 N,42 N,48 N
3,Science,Life Science,Intermediate,An object travels 340 m in 34 s. What is its average speed?,5.0 m/s,10.0 m/s,20.0 m/s,11560 m/s,10.0 m/s
3,Science,Earth Science,Intermediate,Two tectonic plates are moving toward each other. This boundary is called:,Divergent boundary,Transform boundary,Stable boundary,Convergent boundary,Convergent boundary
3,Science,Life Science,Intermediate,An object of mass 20 kg accelerates at 3 m/s². What net force acts on it?,40 N,60 N,80 N,180 N,60 N
3,Science,Earth Science,Intermediate,Magma that cools slowly underground most likely forms:,Intrusive igneous rock,Extrusive igneous rock,Sedimentary rock,Metamorphic rock,Intrusive igneous rock
3,Science,Earth Science,Intermediate,Which process is most responsible for breaking down rock into smaller pieces?,Evaporation,Weathering,Deposition,Condensation,Weathering
3,Science,Health & Body,Intermediate,An object travels 289 m in 19 s. What is its average speed?,15.210526315789474 m/s,7.605263157894737 m/s,5491 m/s,30.42105263157895 m/s,15.210526315789474 m/s
3,Science,Life Science,Intermediate,An object travels 51 m in 25 s. What is its average speed?,2.04 m/s,4.08 m/s,1275 m/s,1.02 m/s,2.04 m/s
3,Science,Health & Body,Intermediate,An object of mass 16 kg accelerates at 10 m/s². What net force acts on it?,144 N,176 N,1600 N,160 N,160 N
3,Science,Health & Body,Intermediate,An object travels 411 m in 11 s. What is its average speed?,18.681818181818183 m/s,37.36363636363637 m/s,4521 m/s,74.72727272727273 m/s,37.36363636363637 m/s
3,Science,Health & Body,Intermediate,An object of mass 18 kg accelerates at 3 m/s². What net force acts on it?,36 N,162 N,72 N,54 N,54 N
3,Science,Health & Body,Intermediate,An object travels 133 m in 3 s. What is its average speed?,88.66666666666667 m/s,44.333333333333336 m/s,22.166666666666668 m/s,399 m/s,44.333333333333336 m/s
3,Science,Health & Body,Intermediate,An object travels 13 m in 26 s. What is its average speed?,0.5 m/s,338 m/s,1.0 m/s,0.25 m/s,0.5 m/s
3,Science,Health & Body,Intermediate,An object travels 326 m in 12 s. What is its average speed?,27.166666666666668 m/s,54.333333333333336 m/s,3912 m/s,13.583333333333334 m/s,27.166666666666668 m/s
3,Science,Physical Science,Intermediate,An object travels 398 m in 37 s. What is its average speed?,14726 m/s,5.378378378378378 m/s,21.513513513513512 m/s,10.756756756756756 m/s,10.756756756756756 m/s
3,Science,Physical Science,Intermediate,An object travels 489 m in 28 s. What is its average speed?,13692 m/s,34.92857142857143 m/s,8.732142857142858 m/s,17.464285714285715 m/s,17.464285714285715 m/s
3,Science,Life Science,Intermediate,An object travels 92 m in 27 s. What is its average speed?,6.814814814814815 m/s,1.7037037037037037 m/s,2484 m/s,3.4074074074074074 m/s,3.4074074074074074 m/s
3,Science,Life Science,Intermediate,An object travels 330 m in 35 s. What is its average speed?,9.428571428571429 m/s,11550 m/s,4.714285714285714 m/s,18.857142857142858 m/s,9.428571428571429 m/s
3,Science,Life Science,Intermediate,An object travels 270 m in 41 s. What is its average speed?,11070 m/s,13.170731707317072 m/s,3.292682926829268 m/s,6.585365853658536 m/s,6.585365853658536 m/s
3,Science,Life Science,Intermediate,An object travels 63 m in 6 s. What is its average speed?,10.5 m/s,378 m/s,21.0 m/s,5.25 m/s,10.5 m/s
3,Science,Physical Science,Intermediate,An object travels 132 m in 12 s. What is its average speed?,22.0 m/s,11.0 m/s,1584 m/s,5.5 m/s,11.0 m/s
3,Science,Physical Science,Intermediate,An object of mass 4 kg accelerates at 2 m/s². What net force acts on it?,4 N,16 N,8 N,12 N,8 N
3,Science,Life Science,Intermediate,An object of mass 17 kg accelerates at 9 m/s². What net force acts on it?,136 N,170 N,1377 N,153 N,153 N
3,Science,Life Science,Intermediate,An object travels 215 m in 48 s. What is its average speed?,10320 m/s,2.2395833333333335 m/s,8.958333333333334 m/s,4.479166666666667 m/s,4.479166666666667 m/s
3,Science,Physical Science,Intermediate,An object of mass 4 kg accelerates at 3 m/s². What net force acts on it?,12 N,36 N,8 N,16 N,12 N
3,Science,Physical Science,Intermediate,An object of mass 14 kg accelerates at 5 m/s². What net force acts on it?,84 N,70 N,56 N,350 N,70 N
3,Science,Life Science,Intermediate,An object of mass 6 kg accelerates at 3 m/s². What net force acts on it?,24 N,12 N,18 N,54 N,18 N
3,Science,Life Science,Intermediate,An object of mass 20 kg accelerates at 2 m/s². What net force acts on it?,60 N,40 N,80 N,20 N,40 N
3,Science,Life Science,Intermediate,An object travels 344 m in 9 s. What is its average speed?,76.44444444444444 m/s,3096 m/s,19.11111111111111 m/s,38.22222222222222 m/s,38.22222222222222 m/s
3,Science,Life Science,Intermediate,An object travels 99 m in 28 s. What is its average speed?,3.5357142857142856 m/s,1.7678571428571428 m/s,2772 m/s,7.071428571428571 m/s,3.5357142857142856 m/s
3,Science,Health & Body,Intermediate,An object of mass 16 kg accelerates at 2 m/s². What net force acts on it?,32 N,16 N,64 N,48 N,32 N
3,Science,Health & Body,Intermediate,An object travels 12 m in 36 s. What is its average speed?,0.16666666666666666 m/s,0.3333333333333333 m/s,432 m/s,0.6666666666666666 m/s,0.3333333333333333 m/s
3,Science,Life Science,Intermediate,An object travels 89 m in 40 s. What is its average speed?,3560 m/s,4.45 m/s,1.1125 m/s,2.225 m/s,2.225 m/s
3,Science,Physical Science,Intermediate,An object of mass 13 kg accelerates at 3 m/s². What net force acts on it?,26 N,39 N,117 N,52 N,39 N
3,Science,Physical Science,Intermediate,An object of mass 10 kg accelerates at 9 m/s². What net force acts on it?,80 N,100 N,90 N,810 N,90 N
3,Science,Physical Science,Intermediate,An object travels 216 m in 19 s. What is its average speed?,4104 m/s,11.368421052631579 m/s,5.684210526315789 m/s,22.736842105263158 m/s,11.368421052631579 m/s
3,Science,Life Science,Intermediate,An object travels 293 m in 19 s. What is its average speed?,7.7105263157894735 m/s,30.842105263157894 m/s,5567 m/s,15.421052631578947 m/s,15.421052631578947 m/s
3,Science,Health & Body,Intermediate,An object travels 316 m in 13 s. What is its average speed?,24.307692307692307 m/s,48.61538461538461 m/s,4108 m/s,12.153846153846153 m/s,24.307692307692307 m/s
3,Science,Life Science,Intermediate,An object of mass 10 kg accelerates at 2 m/s². What net force acts on it?,10 N,30 N,20 N,40 N,20 N
3,Science,Life Science,Intermediate,An object of mass 19 kg accelerates at 8 m/s². What net force acts on it?,133 N,152 N,1216 N,171 N,152 N
3,Science,Health & Body,Intermediate,An object of mass 12 kg accelerates at 9 m/s². What net force acts on it?,972 N,96 N,108 N,120 N,108 N
3,Science,Physical Science,Intermediate,An object of mass 18 kg accelerates at 9 m/s². What net force acts on it?,162 N,180 N,144 N,1458 N,162 N
3,Science,Physical Science,Intermediate,An object of mass 17 kg accelerates at 6 m/s². What net force acts on it?,102 N,85 N,119 N,612 N,102 N
3,Science,Life Science,Intermediate,An object travels 286 m in 9 s. What is its average speed?,31.77777777777778 m/s,15.88888888888889 m/s,63.55555555555556 m/s,2574 m/s,31.77777777777778 m/s
3,Science,Health & Body,Intermediate,An object of mass 10 kg accelerates at 10 m/s². What net force acts on it?,1000 N,90 N,100 N,110 N,100 N
3,Science,Life Science,Intermediate,An object travels 394 m in 45 s. What is its average speed?,4.377777777777778 m/s,17730 m/s,8.755555555555556 m/s,17.511111111111113 m/s,8.755555555555556 m/s
3,Science,Life Science,Intermediate,An object travels 23 m in 25 s. What is its average speed?,0.46 m/s,1.84 m/s,575 m/s,0.92 m/s,0.92 m/s
3,Science,Physical Science,Intermediate,An object of mass 18 kg accelerates at 6 m/s². What net force acts on it?,648 N,126 N,90 N,108 N,108 N
3,Science,Physical Science,Intermediate,An object of mass 1 kg accelerates at 3 m/s². What net force acts on it?,9 N,4 N,2 N,3 N,3 N
3,Science,Health & Body,Intermediate,An object travels 299 m in 30 s. What is its average speed?,4.983333333333333 m/s,9.966666666666667 m/s,19.933333333333334 m/s,8970 m/s,9.966666666666667 m/s
3,Science,Life Science,Intermediate,An object travels 186 m in 43 s. What is its average speed?,8.651162790697674 m/s,2.1627906976744184 m/s,7998 m/s,4.325581395348837 m/s,4.325581395348837 m/s
3,Science,Life Science,Intermediate,An object of mass 15 kg accelerates at 3 m/s². What net force acts on it?,45 N,30 N,60 N,135 N,45 N
3,Science,Life Science,Intermediate,An object travels 378 m in 5 s. What is its average speed?,75.6 m/s,1890 m/s,151.2 m/s,37.8 m/s,75.6 m/s
3,Science,Life Science,Intermediate,An object travels 55 m in 1 s. What is its average speed?,110.0 m/s,55.0 m/s,55 m/s,27.5 m/s,55.0 m/s
3,Science,Physical Science,Intermediate,An object travels 139 m in 16 s. What is its average speed?,2224 m/s,4.34375 m/s,8.6875 m/s,17.375 m/s,8.6875 m/s
3,Science,Health & Body,Intermediate,An object travels 120 m in 10 s. What is its average speed?,24.0 m/s,1200 m/s,12.0 m/s,6.0 m/s,12.0 m/s
3,Science,Life Science,Intermediate,An object of mass 2 kg accelerates at 7 m/s². What net force acts on it?,98 N,16 N,12 N,14 N,14 N
3,Science,Life Science,Intermediate,An object travels 402 m in 12 s. What is its average speed?,4824 m/s,67.0 m/s,16.75 m/s,33.5 m/s,33.5 m/s
3,Science,Physical Science,Intermediate,An object of mass 11 kg accelerates at 10 m/s². What net force acts on it?,110 N,1100 N,99 N,121 N,110 N
3,Science,Health & Body,Intermediate,An object of mass 2 kg accelerates at 4 m/s². What net force acts on it?,8 N,10 N,32 N,6 N,8 N
3,Science,Health & Body,Intermediate,An object travels 359 m in 10 s. What is its average speed?,35.9 m/s,71.8 m/s,17.95 m/s,3590 m/s,35.9 m/s
3,Science,Physical Science,Intermediate,An object travels 412 m in 34 s. What is its average speed?,12.117647058823529 m/s,14008 m/s,6.0588235294117645 m/s,24.235294117647058 m/s,12.117647058823529 m/s
3,Science,Life Science,Intermediate,An object of mass 10 kg accelerates at 6 m/s². What net force acts on it?,360 N,60 N,50 N,70 N,60 N
3,Science,Physical Science,Intermediate,An object of mass 5 kg accelerates at 1 m/s². What net force acts on it?,Option 3,5 N,10 N,0 N,5 N
