Grade,Subject,Topic,Difficulty,Question,A,B,C,D,Correct Answer
5,Science,Life Science Reasoning,Hard,What would happen if cells stopped dividing?,Growth would stop,Energy would increase,Bones would disappear,Digestion would stop,Growth would stop
5,Science,Earth Science,Hard,What causes earthquakes?,Volcanoes only,Plate movement,Weather changes,Erosion,Plate movement
5,Science,Physical Science,Hard,Why does increasing mass reduce acceleration if force is constant?,More friction,Newton’s second law,More heat,More volume,Newton’s second law
5,Science,Health & Body,Hard,Why is the immune system essential?,For movement,To fight infections,To digest food,To circulate blood,To fight infections
5,Science,Life Science Reasoning,Hard,Why are microorganisms important?,They make rocks,They help with digestion and decomposition,They block sunlight,They cause gravity,They help with digestion and decomposition
5,Science,Earth Science,Hard,Why do tectonic plates move?,Earth's heat and mantle convection,Moon gravity,Ocean tides,Wind pressure,Earth's heat and mantle convection
5,Science,Physical Science,Hard,What happens to particles when temperature increases?,They slow down,They move faster,They disappear,They freeze,They move faster
5,Science,Health & Body,Hard,What can happen if nutrients are unbalanced?,Better health,Energy loss and illness,Stronger bones,Faster growth,Energy loss and illness
5,Science,Earth Science,Hard,Magma that cools slowly underground most likely forms:,Intrusive igneous rock,Sedimentary rock,Metamorphic rock,Extrusive igneous rock,Intrusive igneous rock
5,Science,Health & Body,Hard,An object travels 481 m in 46 s. What is its average speed?,10.456521739130435 m/s,5.228260869565218 m/s,22126 m/s,20.91304347826087 m/s,10.456521739130435 m/s
5,Science,Life Science Reasoning,Hard,An object travels 371 m in 11 s. What is its average speed?,16.863636363636363 m/s,33.72727272727273 m/s,4081 m/s,67.45454545454545 m/s,33.72727272727273 m/s
5,Science,Earth Science,Hard,Which process is most responsible for breaking down rock into smaller pieces?,Condensation,Deposition,Evaporation,Weathering,Weathering
5,Science,Life Science Reasoning,Hard,An object travels 145 m in 10 s. What is its average speed?,7.25 m/s,29.0 m/s,14.5 m/s,1450 m/s,14.5 m/s
5,Science,Health & Body,Hard,Which statement best describes conservation of energy?,Energy is always destroyed,Energy is created in every reaction,Energy stays only as heat,Energy changes form but is not created or destroyed,Energy changes form but is not created or destroyed
5,Science,Earth Science,Hard,Two tectonic plates are moving toward each other. This boundary is called:,Convergent boundary,Divergent boundary,Stable boundary,Transform boundary,Convergent boundary
5,Science,Life Science Reasoning,Hard,An object of mass 20 kg accelerates at 10 m/s². What net force acts on it?,200 N,220 N,2000 N,180 N,200 N
5,Science,Health & Body,Hard,An object of mass 4 kg accelerates at 8 m/s². What net force acts on it?,36 N,28 N,256 N,32 N,32 N
5,Science,Physical Science,Hard,An object of mass 2 kg accelerates at 6 m/s². What net force acts on it?,72 N,10 N,14 N,12 N,12 N
5,Science,Health & Body,Hard,An object of mass 2 kg accelerates at 3 m/s². What net force acts on it?,6 N,8 N,4 N,18 N,6 N
5,Science,Life Science Reasoning,Hard,An object travels 469 m in 25 s. What is its average speed?,9.38 m/s,11725 m/s,37.52 m/s,18.76 m/s,18.76 m/s
5,Science,Life Science Reasoning,Hard,An object of mass 2 kg accelerates at 2 m/s². What net force acts on it?,8 N,2 N,4 N,6 N,4 N
5,Science,Health & Body,Hard,An object travels 225 m in 1 s. What is its average speed?,225 m/s,112.5 m/s,225.0 m/s,450.0 m/s,225.0 m/s
